id_venta,empresa,monto,fecha
1,Data Insights,3313.73,2024-01-01
2,snoituloS hceT,4010.69,2024-01-02
3,cyberworks,3270.05,2024-01-03
4,Inn0vatech,2208.82,2024-01-04
5,AI Dvelopments,1674.25,2024-01-05
6,tech solutions,2473.76,2024-01-06
7,hceT neGtxeN,4199.21,2024-01-07
8,Quantum Solutions Inc,2738.25,2024-01-08
9,hcetavonnI,2829.7,2024-01-09
10,TechSolutions,4956.4,2024-01-10
11,NextGen Tech Inc,2180.12,2024-01-11
12,AI Devel0pments,1515.8,2024-01-12
13,QuantumSolutions,2462.22,2024-01-13
14,TechSolutions,2896.32,2024-01-14
15,Quantum Solutions Inc,4386.4,2024-01-15
16,hcetavonnI,1021.73,2024-01-16
17,nextgen tech,3820.94,2024-01-17
18,Globl Markets,4885.68,2024-01-18
19,Data Insights,2976.12,2024-01-19
20,skroWrebyC,4877.05,2024-01-20
21,hceT neGtxeN,1530.79,2024-01-21
22,CybeWorks,4294.17,2024-01-22
23,Tech Solutions Inc,4418.07,2024-01-23
24,Data Insights Inc,3663.31,2024-01-24
25,Bluecean Ltd,1415.94,2024-01-25
26,proC erutuF,4362.07,2024-01-26
27,stnempoleveD IA,3877.22,2024-01-27
28,hceT neGtxeN,4431.71,2024-01-28
29,FutureCorp,3760.71,2024-01-29
30,proC erutuF,2277.29,2024-01-30
31,tech solutions,4415.7,2024-01-31
32,skroWrebyC,1249.73,2024-02-01
33,NextGen Tech,4289.92,2024-02-02
34,Data Insights,1746.28,2024-02-03
35,FutureCorp,4617.65,2024-02-04
36,blueocean ltd,2332.12,2024-02-05
37,NextGenTech,1210.06,2024-02-06
38,TechSolutions,2059.14,2024-02-07
39,Future C0rp,2985.46,2024-02-08
40,blueocean ltd,2449.53,2024-02-09
41,DataInsights,2858.97,2024-02-10
42,AI Dvelopments,1154.6,2024-02-11
43,cyberworks,745.12,2024-02-12
44,proC erutuF,3193.34,2024-02-13
45,AI D3v3lopm3nts,2590.33,2024-02-14
46,innovatech,1107.25,2024-02-15
47,AI Devel0pments,1102.48,2024-02-16
48,DataInsights,1111.58,2024-02-17
49,Blu3Oc3an Ltd,2702.81,2024-02-18
50,blueocean ltd,1336.02,2024-02-19
